trip_id,start_time,start_lon,start_lat,end_time,end_lon,end_lat,charging,charging_time,charging_waittime
25410,06/01/14 06:30 PM,114.018501,22.532801,06/01/14 06:39 PM,114.042603,22.5289,0,0,0
25658,06/01/14 10:16 AM,114.048698,22.5357,06/01/14 10:26 AM,114.035896,22.557699,0,0,0
20543,06/01/14 09:15 PM,113.980797,22.5368,06/01/14 09:43 PM,114.068298,22.6084,0,0,0
21476,06/01/14 09:49 PM,114.119003,22.5399,06/01/14 10:03 PM,114.110199,22.554501000000002,0,0,0
19973,06/01/14 10:14 PM,114.16439799999999,22.565001000000002,06/01/14 10:21 PM,114.148804,22.5448,0,0,0
24533,06/01/14 03:47 AM,114.125198,22.5597,06/01/14 04:04 AM,114.1287,22.5499,0,0,0
13133,06/01/14 09:18 PM,114.115402,22.545601,06/01/14 09:36 PM,114.097298,22.5798,0,0,0
5010,06/01/14 10:54 PM,114.055801,22.6152,06/01/14 10:57 PM,114.050102,22.604098999999998,0,0,0
28713,06/01/14 02:07 PM,114.03649899999999,22.5658,06/01/14 02:17 PM,114.054001,22.5725,0,0,0
21989,06/01/14 12:08 AM,114.047997,22.537201,06/01/14 12:33 AM,114.055801,22.620001000000002,0,0,0
26,06/01/14 01:21 AM,114.064903,22.5513,06/01/14 02:56 AM,114.045125,22.55141,1,2954,163
6,06/01/14 08:36 PM,114.119904,22.541401,06/01/14 05:07 PM,114.135002,22.544001,1,2887,403
31,06/01/14 01:48 AM,114.016502,22.6387,06/01/14 02:10 AM,114.023902,22.619512,1,4739,2487
47,06/01/14 02:31 AM,114.111801,22.5849,06/01/14 03:00 AM,114.101748,22.582541,1,5154,0
9,06/01/14 02:12 AM,113.919502,22.5529,06/01/14 02:35 AM,113.922977,22.546375,1,5325,2177
0,06/01/14 02:40 AM,114.117897,22.5399,06/01/14 02:56 AM,114.135002,22.544001,1,4356,42
30,06/01/14 08:28 PM,113.961304,22.558701,06/01/14 08:51 PM,113.985199,22.547701,1,3342,0
45,06/01/14 08:27 PM,114.119797,22.591299,06/01/14 05:20 AM,114.123241,22.562538,1,7000,0
5,06/01/14 08:36 PM,114.119904,22.541401,06/01/14 12:06 PM,114.135002,22.544001,1,4442,30
32,06/01/14 08:22 AM,113.961403,22.542601,06/01/14 08:29 AM,113.985199,22.547701,1,2473,0
